,Rank,Title,Distributor,Domestic Gross
0,1,Harry Potter and the Deathly Hallows – Part 2,Warner Bros.,"$381,011,219"
1,2,Transformers: Dark of the Moon,Paramount,"$352,390,543"
2,3,The Twilight Saga: Breaking Dawn – Part 1,Summit Entertainment,"$281,287,133"
3,4,The Hangover Part II,Warner Bros.,"$254,464,305"
4,5,Pirates of the Caribbean: On Stranger Tides,Disney,"$241,071,802"
5,6,Fast Five,Universal,"$209,837,675"
6,7,Mission: Impossible – Ghost Protocol,Paramount,"$209,397,903"
7,8,Cars 2,Disney,"$191,452,396"
8,9,Sherlock Holmes: A Game of Shadows,Warner Bros.,"$186,848,418"
9,10,Thor,Paramount,"$181,030,624"
